bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price(k)
4.0,1.75,1760,7300.0,1.0,0,0,3,7.0,880,880,1956,0,98008,47.6034,-122.125,1680,7500,380.0
3.0,1.0,1040,5060.0,1.0,0,0,3,7.0,1040,0,1941,0,98116,47.5636,-122.394,890,5060,480.0
3.0,1.0,1410,5060.0,1.0,0,0,4,7.0,910,500,1956,0,98133,47.7073,-122.34,1130,5693,410.0
4.0,2.5,3450,39683.0,2.0,0,0,3,10.0,3450,0,2002,0,98010,47.342,-122.025,3350,39750,720.0
3.0,2.5,2350,5100.0,2.0,0,0,3,8.0,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,390.0
4.0,2.5,1900,5889.0,2.0,0,0,3,7.0,1900,0,1992,0,98038,47.349,-122.031,1870,6405,360.0
2.0,1.0,2020,6720.0,1.0,0,0,3,7.0,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,355.0
3.0,1.5,1680,8712.0,1.0,0,0,3,8.0,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,356.0
3.0,1.0,960,6634.0,1.0,0,0,3,6.0,960,0,1952,0,98125,47.7264,-122.31,1570,7203,315.0
3.0,1.5,2140,3600.0,2.0,0,0,3,9.0,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,940.0
5.0,2.25,2660,8400.0,1.5,0,0,5,7.0,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,305.0
3.0,3.25,2770,6278.0,2.0,0,0,3,9.0,1980,790,2006,0,98056,47.5228,-122.199,1900,7349,461.0
2.0,2.25,1610,2040.0,2.0,0,0,4,7.0,1610,0,1979,0,98056,47.518,-122.194,1950,2025,215.0
2.0,1.75,1030,1066.0,2.0,0,0,3,7.0,765,265,2006,0,98136,47.5394,-122.387,1030,1106,335.0
4.0,2.5,1980,7403.0,2.0,0,0,3,7.0,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,243.5
5.0,2.75,3520,6353.0,2.0,0,0,4,10.0,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,1099.88
3.0,1.0,1200,10500.0,1.0,0,0,3,7.0,1200,0,1962,0,98023,47.322,-122.351,1350,10500,153.0
3.0,1.5,1580,5000.0,1.0,0,0,3,8.0,1290,290,1939,0,98117,47.687,-122.386,1570,4500,430.0
3.0,1.5,1580,5000.0,1.0,0,0,3,8.0,1290,290,1939,0,98117,47.687,-122.386,1570,4500,700.0
4.0,2.5,3300,10250.0,1.0,0,0,3,7.0,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,905.0
3.0,1.75,1960,15681.0,1.0,0,0,3,7.0,1960,0,1967,0,98032,47.3576,-122.277,1750,15616,247.5
4.0,1.5,1160,6400.0,1.0,0,0,4,7.0,1160,0,1975,0,98023,47.3036,-122.378,1160,6400,199.0
3.0,1.75,1810,41800.0,1.0,0,0,5,7.0,1210,600,1980,0,98038,47.4109,-121.958,1650,135036,314.0
3.0,2.5,2320,36847.0,2.0,0,2,3,9.0,2320,0,1992,0,98045,47.4838,-121.714,2550,35065,437.5
3.0,2.5,2070,13241.0,1.5,0,0,5,9.0,1270,800,1910,0,98102,47.6415,-122.315,2200,4500,850.83
3.0,2.0,1980,3478.0,1.5,0,0,4,7.0,1440,540,1929,0,98117,47.6775,-122.372,1610,3478,555.0
3.0,2.25,2190,107593.0,2.0,0,0,4,8.0,2190,0,1983,0,98077,47.7731,-122.08,2570,47777,699.95
3.0,2.5,2920,8113.0,2.0,0,0,3,8.0,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113,1088.0
3.0,1.0,1210,33919.0,1.0,0,0,3,7.0,1210,0,1954,0,98058,47.4375,-122.184,1640,14910,290.0
3.0,2.5,2340,10005.0,1.0,0,0,4,8.0,1460,880,1978,0,98058,47.4431,-122.133,2250,8162,375.0
3.0,1.0,1670,4005.0,1.5,0,0,4,7.0,1170,500,1939,0,98117,47.6878,-122.38,1240,4005,460.0
2.0,1.75,1240,2493.0,1.0,0,0,4,8.0,1240,0,1985,0,98198,47.3813,-122.322,1270,4966,188.5
4.0,2.5,3140,28037.0,2.0,0,0,4,10.0,3140,0,1991,0,98077,47.7304,-122.082,2990,35001,680.0
5.0,1.75,2030,12342.0,2.0,0,0,4,7.0,2030,0,1942,0,98052,47.6417,-122.109,2500,9433,470.0
4.0,2.5,2310,9624.0,2.0,0,0,3,8.0,2310,0,1984,0,98027,47.5386,-122.053,1940,9636,597.75
3.0,1.75,1260,3328.0,1.0,0,0,5,6.0,700,560,1905,0,98103,47.6823,-122.349,1380,3536,570.0
3.0,1.75,1540,12600.0,1.0,0,0,4,7.0,1160,380,1980,0,98038,47.3624,-122.031,1540,11656,272.5
3.0,1.75,2080,5969.0,1.0,0,2,3,7.0,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500,329.95
4.0,2.5,3230,16171.0,2.0,0,3,3,9.0,2520,710,2001,0,98001,47.3183,-122.253,2640,8517,480.0
3.0,3.5,4380,6350.0,2.0,0,0,3,8.0,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6350,740.5
3.0,3.5,1590,1102.0,3.0,0,0,3,8.0,1590,0,2010,0,98103,47.6824,-122.347,1620,3166,518.5
2.0,1.0,880,6780.0,1.0,0,0,4,6.0,880,0,1945,0,98178,47.5009,-122.248,1190,6780,205.425
4.0,2.0,1570,9600.0,1.0,0,0,3,6.0,1570,0,1950,0,98168,47.4965,-122.303,1880,9000,171.8
4.0,1.0,1610,2982.0,1.5,0,0,4,7.0,1610,0,1925,0,98144,47.587,-122.294,1610,4040,535.0
3.0,2.5,2400,6474.0,1.0,0,2,3,8.0,1560,840,1964,0,98177,47.7728,-122.386,2340,10856,660.0
3.0,2.0,1450,9132.0,1.0,0,0,3,7.0,1450,0,1987,0,98034,47.7288,-122.226,1580,9104,391.5
2.0,1.0,770,6000.0,1.0,0,0,3,6.0,770,0,1953,0,98117,47.6999,-122.364,1710,6000,395.0
4.0,1.75,2100,4400.0,1.5,0,0,5,7.0,1720,380,1924,0,98118,47.5299,-122.266,1850,4400,445.0
3.0,2.25,2910,10204.0,2.0,0,0,3,9.0,2910,0,1990,0,98052,47.6897,-122.098,2700,13992,770.0
4.0,2.75,2750,17789.0,1.5,0,0,3,8.0,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275,1450.0
3.0,2.25,2100,8201.0,1.0,0,2,3,8.0,1620,480,1967,0,98178,47.5091,-122.244,2660,8712,445.0
4.0,2.25,2160,8811.0,1.0,0,0,3,8.0,1360,800,1978,0,98023,47.3129,-122.39,2090,8400,260.0
5.0,3.5,2320,4960.0,2.0,0,0,5,7.0,1720,600,1926,0,98103,47.6763,-122.352,1700,4960,822.5
4.0,2.5,2070,4310.0,2.0,0,0,3,7.0,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,430.0
3.0,1.75,1060,7875.0,1.0,0,0,4,7.0,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,212.0
4.0,2.25,2010,9603.0,1.0,0,0,3,8.0,1440,570,1986,0,98027,47.5343,-122.054,2060,9793,660.5
3.0,3.5,3950,111078.0,1.5,0,0,3,9.0,2460,1490,1989,0,98052,47.697,-122.072,2480,88500,784.0
3.0,2.5,2010,2287.0,2.0,0,0,3,8.0,1390,620,2014,0,98029,47.5517,-121.998,1690,1662,453.246
4.0,3.5,2140,2278.0,3.0,0,0,3,9.0,2140,0,2005,0,98107,47.6734,-122.38,1540,2285,675.0
3.0,1.75,1320,17390.0,1.0,0,0,4,7.0,1320,0,1956,0,98003,47.3257,-122.296,1550,19265,199.0
4.0,1.75,2020,7840.0,1.0,0,0,3,7.0,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140,220.0
4.0,2.25,2590,10002.0,1.0,0,0,4,8.0,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436,452.0
2.0,1.0,1190,4440.0,1.0,0,0,3,6.0,1190,0,1981,0,98125,47.7135,-122.287,1060,5715,382.5
3.0,2.25,1170,1249.0,3.0,0,0,3,8.0,1170,0,2014,0,98107,47.6722,-122.381,1350,1310,519.95
2.0,1.0,1110,3200.0,1.0,0,0,3,7.0,1110,0,1925,0,98119,47.6338,-122.358,1170,3600,665.0
5.0,2.5,2820,9375.0,1.0,0,0,4,8.0,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375,527.7
3.0,1.0,1610,8579.0,1.0,0,0,4,7.0,1010,600,1962,0,98058,47.4563,-122.171,1610,8579,205.0
3.0,1.0,1060,8097.0,1.0,0,0,4,7.0,940,120,1923,0,98133,47.7144,-122.351,1560,7940,420.0
4.0,2.25,2030,8517.0,1.0,0,0,4,8.0,1380,650,1961,0,98006,47.5495,-122.174,2230,8824,500.0
4.0,2.5,3670,315374.0,2.0,0,0,4,9.0,3670,0,1994,0,98077,47.7421,-122.026,2840,87991,921.5
4.0,1.0,2550,4000.0,2.0,0,0,3,8.0,2370,180,1905,0,98109,47.6354,-122.353,2200,4000,890.0
2.0,2.5,2420,60984.0,2.0,0,0,3,7.0,2420,0,2007,0,98027,47.5262,-121.943,1940,193842,430.0
5.0,2.0,2260,12500.0,1.0,0,0,4,8.0,1130,1130,1960,0,98032,47.3887,-122.286,1360,18000,258.0
3.0,1.0,1430,3455.0,1.0,0,0,3,7.0,980,450,1947,0,98103,47.6873,-122.336,1450,4599,511.0
3.0,2.0,1360,3090.0,2.0,0,0,3,8.0,1360,0,1990,0,98103,47.6838,-122.353,1500,3090,532.17
3.0,1.0,1110,5000.0,1.5,0,0,3,7.0,1110,0,1947,0,98107,47.655,-122.359,1420,5000,560.0
3.0,1.0,1250,8200.0,1.0,0,0,4,7.0,1250,0,1954,0,98003,47.3255,-122.304,1680,8633,282.95
4.0,3.25,5180,19850.0,2.0,0,3,3,12.0,3540,1640,2006,0,98006,47.562,-122.162,3160,9750,2250.0
1.0,1.0,700,5100.0,1.0,0,0,3,7.0,700,0,1942,0,98115,47.679,-122.3,1010,5100,350.0
3.0,1.0,1180,7669.0,1.0,0,0,4,7.0,1180,0,1967,0,98058,47.4479,-122.176,1190,7669,215.0
5.0,3.5,3960,25245.0,2.0,0,0,3,9.0,2500,1460,1996,0,98056,47.525,-122.172,2640,13675,650.0
4.0,2.75,2640,7500.0,1.0,0,0,3,8.0,1620,1020,1967,0,98023,47.3135,-122.369,1980,7875,320.0
3.0,2.0,1270,7198.0,1.5,0,0,3,7.0,1270,0,1916,2013,98022,47.2086,-121.996,1160,7198,247.0
4.0,1.75,1760,11180.0,1.0,0,0,4,8.0,1760,0,1968,0,98059,47.4715,-122.118,1730,11180,320.0
5.0,2.25,2060,8632.0,1.0,0,0,3,7.0,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680,255.0
3.0,1.75,1780,9660.0,1.0,0,0,3,7.0,1780,0,1962,0,98034,47.7171,-122.193,1200,9660,438.0
3.0,2.5,3400,16603.0,2.0,0,0,3,10.0,3400,0,2000,0,98075,47.6012,-122.023,3400,12601,900.0
3.0,2.75,1910,7280.0,1.0,0,0,3,7.0,1160,750,1979,0,98034,47.7319,-122.224,1710,8152,441.0
3.0,2.0,2020,38332.0,1.0,0,0,4,7.0,1010,1010,1975,0,98027,47.4582,-122.023,2110,36590,420.0
3.0,1.75,1580,7000.0,1.0,0,0,3,7.0,1180,400,1976,0,98034,47.7209,-122.168,1640,7500,370.0
2.0,1.75,1340,7250.0,1.0,0,0,5,5.0,700,640,1949,0,98198,47.408,-122.327,1830,9750,269.95
4.0,2.5,2680,4499.0,2.0,0,0,3,9.0,2680,0,1999,0,98006,47.565,-122.125,2920,4500,807.1
3.0,2.5,2680,9750.0,1.0,0,0,4,8.0,1610,1070,1979,0,98034,47.7028,-122.231,2480,8750,653.0
3.0,2.0,1370,8336.0,1.0,0,0,5,7.0,1370,0,1964,0,98133,47.7458,-122.331,1770,7288,371.5
3.0,1.75,1560,21000.0,1.0,0,0,3,7.0,1560,0,1954,0,98166,47.4776,-122.337,1070,7920,284.0
3.0,1.75,2160,7140.0,1.0,0,0,4,7.0,1670,490,1978,0,98023,47.3026,-122.374,1930,7350,272.0
3.0,1.5,1340,7912.0,1.5,0,0,3,7.0,1340,0,1955,0,98133,47.7658,-122.339,1480,7940,313.0
4.0,2.5,3880,35003.0,2.0,0,0,3,10.0,2570,1310,1984,0,98033,47.6477,-122.182,3740,35230,917.5
4.0,2.25,2590,8190.0,2.0,0,0,4,8.0,2590,0,1980,0,98006,47.5619,-122.125,2260,8335,673.0
3.0,2.5,1120,1100.0,2.0,0,0,3,8.0,820,300,2008,0,98122,47.6106,-122.31,1590,1795,425.0
5.0,2.75,1970,5400.0,1.0,0,0,3,7.0,1320,650,1986,0,98144,47.5868,-122.308,1280,2150,399.95
3.0,1.0,1220,4800.0,1.0,0,0,3,6.0,1220,0,1901,0,98122,47.6101,-122.307,1200,4800,385.0
3.0,1.5,1950,7560.0,1.0,0,2,4,7.0,1320,630,1975,0,98022,47.1976,-121.999,1950,8941,269.95
2.0,1.0,1350,8220.0,1.0,0,0,3,7.0,1060,290,1949,0,98177,47.7224,-122.358,1540,8280,330.0
3.0,2.5,1670,5797.0,2.0,0,0,3,7.0,1670,0,1988,0,98030,47.3505,-122.179,1670,6183,260.0
4.0,3.0,2380,5125.0,1.5,0,0,4,7.0,1680,700,1925,0,98126,47.5384,-122.376,1410,5375,470.0
4.0,3.0,2440,9600.0,2.0,0,0,5,7.0,2440,0,1961,0,98034,47.7044,-122.2,2290,9600,589.0
2.0,1.5,1050,3419.0,2.0,0,0,3,7.0,1050,0,1996,0,98038,47.3848,-122.039,1050,3417,163.5
4.0,2.75,3130,13412.0,2.0,0,0,3,9.0,2140,990,1993,0,98052,47.6993,-122.102,2260,9984,835.0
5.0,3.0,4090,12850.0,1.0,0,2,4,10.0,2090,2000,1986,0,98033,47.6627,-122.188,2540,10270,1095.0
4.0,1.75,1490,10000.0,1.0,0,0,4,8.0,1100,390,1969,0,98023,47.3099,-122.379,2190,8910,269.0
3.0,2.5,1900,8744.0,2.0,0,0,3,8.0,1900,0,1987,0,98074,47.62,-122.043,2030,8744,560.0
4.0,1.0,1330,2400.0,1.5,0,0,4,6.0,1330,0,1901,0,98103,47.65,-122.34,1330,4400,615.0
3.0,2.25,2230,10026.0,1.0,0,0,3,8.0,1430,800,1975,0,98052,47.6647,-122.153,2230,9340,585.188
3.0,1.75,1650,9480.0,1.0,0,0,3,7.0,1220,430,1977,0,98034,47.726,-122.191,1540,8400,305.0
3.0,1.0,1190,8820.0,1.0,0,0,3,6.0,1190,0,1959,0,98058,47.4616,-122.184,1230,7980,166.95
3.0,2.5,2140,9897.0,1.0,0,0,4,8.0,2140,0,1959,0,98040,47.5505,-122.219,2680,10083,799.0
3.0,2.5,2180,7508.0,1.0,0,0,4,7.0,1420,760,1962,0,98133,47.7606,-122.336,1900,7818,400.0
3.0,1.0,1060,10228.0,1.0,0,0,3,7.0,1060,0,1948,0,98155,47.7481,-122.3,1570,10228,230.0
3.0,2.5,1690,5025.0,2.0,0,0,3,8.0,1690,0,2003,0,98023,47.2779,-122.347,2550,5001,256.883
4.0,2.0,1970,6480.0,1.5,0,0,5,7.0,1130,840,1920,0,98108,47.5511,-122.312,1500,6480,423.0
3.0,2.5,2150,4084.0,2.0,0,0,3,8.0,2150,0,2007,0,98126,47.5488,-122.372,1750,2385,465.0
3.0,2.5,1910,66211.0,2.0,0,0,3,7.0,1910,0,1997,0,98024,47.5385,-121.911,2330,67268,440.0
3.0,1.75,1350,155073.0,1.0,0,0,4,7.0,1350,0,1969,0,98038,47.4058,-121.994,1560,50965,385.0
3.0,1.0,860,11725.0,1.0,0,0,4,6.0,860,0,1943,0,98056,47.5093,-122.184,1300,9514,210.0
3.0,2.5,1940,14952.0,2.0,0,0,3,8.0,1940,0,1994,0,98042,47.3777,-122.165,2030,10450,297.0
3.0,1.0,1010,5000.0,1.0,0,0,3,7.0,1010,0,1952,0,98107,47.675,-122.394,1680,5000,470.0
3.0,1.5,1300,7370.0,1.0,0,0,4,7.0,900,400,1976,0,98023,47.3025,-122.37,1430,7500,226.5
3.0,1.0,910,8450.0,1.0,0,0,4,6.0,910,0,1962,0,98059,47.4787,-122.158,1400,8040,274.25
4.0,1.75,2480,11010.0,1.0,0,0,4,9.0,1630,850,1966,0,98040,47.5378,-122.219,2770,10744,840.0
3.0,2.5,2440,4587.0,2.0,0,0,3,8.0,2440,0,2010,0,98052,47.7073,-122.114,2750,4587,677.9
3.0,1.0,1010,5864.0,1.0,0,0,3,7.0,1010,0,1915,0,98116,47.5733,-122.381,1290,5000,425.0
2.0,0.75,900,9600.0,1.0,0,0,3,6.0,900,0,1941,0,98166,47.4604,-122.339,1250,14280,180.25
6.0,3.0,2300,3404.0,2.0,0,0,3,7.0,1600,700,1920,1994,98133,47.7067,-122.343,1560,1312,464.0
4.0,2.25,1550,7579.0,2.0,0,0,3,8.0,1550,0,1993,0,98038,47.354,-122.047,1630,6397,320.0
3.0,2.25,1270,1566.0,2.0,0,0,3,8.0,1060,210,2014,0,98105,47.6647,-122.284,1160,1327,625.504
4.0,2.5,2240,12032.0,1.0,0,0,3,9.0,2240,0,1983,0,98074,47.6143,-122.017,2520,12368,592.5
3.0,2.5,2714,17936.0,2.0,0,0,3,9.0,2714,0,2005,0,98001,47.3185,-122.275,2590,18386,465.0
4.0,2.75,1720,6270.0,2.0,0,0,3,8.0,1720,0,1978,0,98118,47.5458,-122.268,2130,8700,477.0
2.0,1.0,850,16400.0,1.0,0,0,3,6.0,850,0,1923,0,98168,47.4889,-122.299,1100,14459,280.0
5.0,3.0,3300,33474.0,1.0,0,3,3,9.0,1870,1430,1957,1991,98040,47.5673,-122.21,3836,20953,1505.0
3.0,2.5,2250,5692.0,2.0,0,0,3,8.0,2250,0,2000,0,98146,47.5133,-122.379,1320,5390,445.838
2.0,2.25,3900,14864.0,1.0,0,3,3,8.0,1950,1950,1947,0,98144,47.5884,-122.291,2580,5184,1072.0
